question,prediction,expected_output,score,logprob
"She gets them some water to gargle in their mouths. The boy and girl begin playing in the sink. the woman
Choices:
A) shakes her head in disbelief and waves at her.
B) laughs at the children dribbling water.
C) comes back and talks to the boys.
D) gets some food out of the fridge and they continue playing together.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A cat is sitting in a cat bed. It is licking its paw. it
Choices:
A) then wipes its paw on its ear.
B) crawls to the door.
C) 's laying down about six inches away from the camera.
D) crawls on one foot to get closer to the camera.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A man in brown jacket is pulling out an arrow from the target board, then he was talking to the camera, then he pull out his bow and started to use it with his bow to hit the target board, he fired his bows several times. the man
Choices:
A) played paper if and shoot the arrows to hit the target, then he hang from the board with his bow and arrow.
B) went to the target board and talked to the camera.
C) eventually throw the arrow, but it flew into the gravel is near the targets.
D) have his bow as he talk to the camera, he pulled it out to show how to put with its flex, tighten, and notch that was attached to his bow.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man walks outside plugs his lawn mower in and gets ready to mow. he
Choices:
A) drives through the grass while drinking from a large cup of water and carrying his lawn mower.
B) walks off the porch and goes back inside.
C) starts mowing his lawn casually going over all the grass.
D) does this multiple times until a pale orange moon appears overhead.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A man walks outside plugs his lawn mower in and gets ready to mow. He starts mowing his lawn casually going over all the grass. his dog
Choices:
A) comes outside and starts to follow him a little while he's closer to the house.
B) comes outside and takes a closer look at the man mowing, after he picks up the mower.
C) runs loose and feeds on his movements.
D) is having a seizure and starts to hop all over the lawn as he walks around.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"He starts mowing his lawn casually going over all the grass. His dog comes outside and starts to follow him a little while he's closer to the house. the yard
Choices:
A) is slowly starting to look really really nice, once he is completely finished the yard looks great, nice and smooth.
B) is very neat and clean and very active under the circumstances.
C) gets mowed quicker by the dog.
D) eventually looks happy on the outside and appears to be going pretty happily.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A sea is shown with a green forest on seashore. Blond man is standing in seashore and talking to the camera and surfing big waves on the sea. man
Choices:
A) is on ocean and swimming in white water snapping his head.
B) is snowboarding up in the sea.
C) is doing flips in the waters and on the rocks and he be water surfing.
D) is walking on seashore through a lot of people and talking to the camera and holding an award and talking about surfing the seashore.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"We see a bottle of face wash. we
Choices:
A) see a newspaper story.
B) see four cookies in a pan.
C) see a person holding face wash then putting it on their face.
D) see a tool on a table.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"We see a person holding face wash then putting it on their face. They rinse the face and add the face wash with a brush. we
Choices:
A) see a closing title screen.
B) see a black screen with the credits.
C) see an illustration on how to add the wash using a brush.
D) then see a replay then the person putting the face wash on.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A person is seen throwing plaster onto a wall while the camera follows the person close behind. the person
Choices:
A) continues throwing ingredients down and leads into a person kicking a dirty toilet.
B) gradually throws more and more onto the wall and the camera pans over the finished product.
C) then uses paper to spread it all over the wall followed by others putting paper through with the plaster.
D) is now seen putting wax all along the wall while still looking back to the camera.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"More and more people begin talking and each of them has a bottle of sun screen and starts to squirt it on their arms in effort to protect their skin. a small blue bottle of the sun screen
Choices:
A) appears and then different people carry it to a table where they mix the liquid with a straw with a straw and take turns squirting the liquid into their skin.
B) appears near each of their hair as they continue to talk but no bottle at all appear.
C) is then shown and several more people begin talking about the product.
D) zooms in on sheers that they have on the floor.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A group of boys are standing in a room with many clear cups of beer on a table they are all standing around. the boys
Choices:
A) take a flute together and then begin to play the harmonica using it to play the tune.
B) begin to wrap red bow around the plastic cups, put bows on the bottoms _start_various objects on the foam covers and belongings to the floor.
C) talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups.
D) all grab one and chug their contents of the cans.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"The boys talk, laugh and tease each other before beginning a game of beer pong across a long table using a triangle shaped array of clear cups. one of the ping pongs
Choices:
A) is knocked upside down, which causes the other teens to give each other high fives.
B) tries to rise but dikes instead.
C) rush walks up in front of the boys, removes a small piece of paper from the bottom of the table, puts a hand on the machine and wrestles with buttons, turns the machine off and pushes a button inside to turn the game back on.
D) lands in the cup and one of the boys begins to drink the beer.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"One of the ping pongs lands in the cup and one of the boys begins to drink the beer. the group
Choices:
A) of teens is sailing down the river with others sailing in the background.
B) gets up together and poses with their vests to celebrate.
C) continue to play beer pong when one final player is able to throw and land a ping pong ball while standing with his back to the cups at which point the boys celebrate, and laugh.
D) does a trick and the liquid is poured on a second table.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"There's a nbc news reporter wearing a red sweater and white shirt talking about dog grooming by scissor wizard a grooming company. the representative from the company
Choices:
A) is talking about the services they offer and how those dogs participate in dog shows.
B) speaks to a woman sitting on a colorful conference room chair next to a brown dog kennel in front of them.
C) tells viewers about a dog grooming company, itv with a website.
D) in grey sweater and black pants talks about the procedures on grooming dogs in life and techniques.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"The representative from the company is talking about the services they offer and how those dogs participate in dog shows. a groomer
Choices:
A) is seen using shears to creatively trim the dog's hair and even dye it in colorful shades of red, green, yellow and blue.
B) is presenting cookies to the room with a loaf of bread.
C) shows crowd opinion for use as their garden service representative.
D) speaks to an older man about snow cleaning dogs and showing how it is flectious.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A woman tries to eat ice cream to a child, but the child refuses to eat the ice cream, then the woman eats the ice cream in the spoon. after
Choices:
A) , the woman gives ice cream to the child, and then the woman cleans the child's mouth.
B) , the child takes out the fork the other child takes out the spoon and eats the ice cream.
C) , the child and the woman tries to eat food without ice cream, then they sit and talk with adults in the room.
D) , two people wearing red shirts pass through the store's door and inside the market and besides a man and a chimpanzee wearing silver uniforms are watching the woman and child.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"After, the woman gives ice cream to the child, and then the woman cleans the child's mouth. an old woman
Choices:
A) feeds a boy ice cream.
B) hold the child and eats the ice cream, after the woman is giving baby ice cream to the child.
C) tries to stop the mother pray while giving a baby something else.
D) is standing using a white blower to blow snow.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"Men are lifting heavy weights over their head several times. A man in a blue shirt is watching one of the men. a man in a gray shirt
Choices:
A) is watching the men on the ground.
B) hits a big weight in slow motion.
C) is talking to one of the men in the middle of the gym.
D) is mimicking the person lifting the weight.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"In home pet groomers demonstrate how to groom a pet. the person
Choices:
A) puts a setting engage on the pets tongue and leash.
B) starts at their butt rise, combing out the hair with a brush from a red.
C) is demonstrating how the dog's hair is trimmed with electric shears at their grooming salon.
D) installs and interacts with a sleeping pet before moving away.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A person polish a shoe with a wrapped finger. then
Choices:
A) , the person remove the wrapping paper to expose a shoe.
B) , the person removes the heel heel from the shoe and polish.
C) , the person grabs polish paste and water to polish the shoe.
D) , a person polish the fingers, then the person puts a black polish.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"Eight people are standing at the studio, one woman walked at the back of the group. the group
Choices:
A) then begins marching down a fitness track, demonstrating steps, going forward and backward, in between takes several breaks to lift their feet.
B) is gathered around a long table into a dance routine.
C) started dancing, swirling, shaking their hips, rotating, their arms and hands are moving from side to side, in front.
D) continue to discuss the topic of volleyball.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A man is seen talking to the camera and presents his knife and sharpener. He then glides the knife down the sharpener and shows how other knives work with different sharpeners. he
Choices:
A) then repeats his advice and using more wax.
B) shows the using the sharpener on a piece of wood.
C) presents the knife one last time while still speaking to the camera.
D) uses scissors to cut the blade as well as metal and talk to the camera at the end.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A man walks onto the stage to join a band. a man
Choices:
A) plays harp and flute while two other people play instruments next to him.
B) and woman dance around together on the stage.
C) dance on the ropes attached to the stage.
D) plays up front of a band with a harmonica.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A man walks onto the stage to join a band. A man plays up front of a band with a harmonica. the keyboardist
Choices:
A) plays the hip hop and dance moves with the band.
B) plays a spirited solo during the song.
C) plays his guitar while moving his body around in front of the band.
D) sings with the band, twirling his violin as he walks.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A camera pans away from a road and shows a person's feet moving around. several shots
Choices:
A) are shown of people riding up a mountain on skis while being pulled down by a rope.
B) are shown of people tying their shoes, hitting a button, and checking a watch.
C) are shown of people wake boarding.
D) are then shown of people riding on snowboards over mountains.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A camera pans away from a road and shows a person's feet moving around. Several shots are shown of people tying their shoes, hitting a button, and checking a watch. people
Choices:
A) march around a room wearing funny hats, hats, and shoes.
B) then are shown washing a car.
C) are then seen running down the road one at a time followed by many more following.
D) walk along a road, using bicycles and bagpipes.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A gymnast put power chalk power on his hands and stands near the pommel horse. then
Choices:
A) , the gymnast put strength and power item on his body and falls.
B) , the gymnast approach the pommel horse to spin around many times.
C) , the gymnast blade the board and stands in position facing the pommel horse doing blade moves.
D) , the gymnast moves around and flips the chalk power to full weight and continues gymnastics for the next competition, after he turns and stands near the pommel horse.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A gymnast put power chalk power on his hands and stands near the pommel horse. Then, the gymnast approach the pommel horse to spin around many times. then
Choices:
A) , the gymnast stand on his hand and jumps to land on the floor, while people applaud.
B) , the gymnast put the star light on his hands and jumps high using strength.
C) , the gymnast puts fluid on the pommel horse and sit on it to rise the body while position it.
D) , the gymnast cross the pommel horse with the long rope while performing handsprings.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A logo shows that this video is presented by expert village. a man in a small blue boat
Choices:
A) is pushing a kress of water in a lake while instructing his boarder.
B) discusses the topic of hand surfing in a hole and gives hints on how to perform this activity.
C) , in the middle of a lake, is skiing.
D) is in the water pushing a boat with a sail.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A man in a small blue boat discusses the topic of hand surfing in a hole and gives hints on how to perform this activity. the man
Choices:
A) demonstrates how to properly back up a hand surf by requiring an anchor.
B) demonstrates tricks that can be done while performing this activity.
C) in the small blue boat holds a fish in his hands and then holds the fish while talking about the technique needed to perform this activity.
D) is omic on the water as he's riding the speedo on the aerobic machine still pointing down at the water.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"The camera pans to show a man playing a harmonica while sitting on a log beside a river. A woman walks near the train tracks while a train drives by. the woman
Choices:
A) continues just playing with the tunes she made.
B) sees the harmonica playing man in the distance.
C) taps a horn intermittently as the camera pans right.
D) plays a song on her harmonica while walking away from the train.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A woman walks near the train tracks while a train drives by. The woman sees the harmonica playing man in the distance. she
Choices:
A) comes back to the train and continues walking on the subway.
B) walks around the rail of the tracks and watches the scenery and the crowds of people.
C) watches him and listens to him playing.
D) begins playing with the harmonica and stops.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"The woman sees the harmonica playing man in the distance. She watches him and listens to him playing. She walks away leaving the man. the man
Choices:
A) takes out a wall show from his guitar.
B) finishes playing and remains seated.
C) jumps over a barrier and lands on the sandy beach.
D) plays in a house while the woman looks on.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"A person is shown looking around a city and begins washing windows with his tools. he
Choices:
A) then brushes right through the window and cleans it off.
B) uses a large block cutter to remove smaller blocks until he has the whole of the window covered.
C) puts water on a hose and begins cleaning the windows.
D) goes up and down the windows at a rapid pace and continues filming himself through the glass.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',3,0.0,tensor(0.)
"A person is shown looking around a city and begins washing windows with his tools. He goes up and down the windows at a rapid pace and continues filming himself through the glass. he
Choices:
A) continues to work by scrubbing the windows and then by pouring water out.
B) takes his clothes off and hangs them up before throwing his plaid shirt into the laundry.
C) finishes the glass in record time and turns off the camera.
D) spins around to show the different angles of the board and shows pictures of the house in the end.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',2,0.0,tensor(0.)
"A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. the man
Choices:
A) is reeling in a fish for a long time.
B) spins with his fishing pole in the air.
C) does a trick on his dirty ice fishing line.
D) does numerous tricks as he goes through these beauty course courses of ice covered lakes.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
"A man dressed in yellow and black winter clothes ice fishes on a a frozen lake. The man is reeling in a fish for a long time. the mans catch
Choices:
A) more fish and throws them to the side.
B) finally reaches the surface.
C) a fish for dinner by making a wish with his mouth.
D) one and puts it on a fishing pole in the lake.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',1,0.0,tensor(0.)
"Two children are seen sitting in a tub rubbing their faces and another person's hands interacting. the boy
Choices:
A) continues to rub water all over his face as well as play with toys and smile at the cameraman.
B) walks out of the bathroom laughing to the camera and the girl stands up to rinse her face off.
C) then begins washing the other child and ends by copulating with him.
D) is now seen pointing down by himself and leads into him holding a comb and blow dryer and speaking to others.

Answer with the single letter (A, B, C, or D) of the correct choice.",'HellaSwagBenchmark' object has no attribute '_generate_output',0,0.0,tensor(0.)
